Quantity,Reference,Value,PCB Footprint,Part Number,Manufacturer,Description,Part Number_alternative,Manufacturer_alternative
4,"R28,R221,R222,R223",0E,R0402,RC0402JR-070RP,YAGEO,RES SMD 0 OHM JUMPER 1/16W 0402,"AC0402FR-070RL, ERJ-2GE0R00X, RC0402JR-070RP","YAGEO, Panasonic Electronic Components"
1,R32,100K,R0402,ERJ-2RKF1003X,Panasonic Electronic Components,RES SMD 100K OHM 1% 1/10W 0402,ERJ-2RKF1003X,Panasonic Electronic Components
2,"R41,R266",0E,R0402,RC0402JR-070RP,YAGEO,RES SMD 0 OHM JUMPER 1/16W 0402,"AC0402FR-070RL, ERJ-2GE0R00X, RC0402JR-070RP","YAGEO, Panasonic Electronic Components"
1,R175,1K,R0402,RC0402JR-071KP,YAGEO,RES SMD 1K OHM 5% 1/16W 0402,"ERJ-2RKF1001X, RC0402JR-071KP","YAGEO, Panasonic Electronic Components"
2,"R193,R247",360E,R0402,RC0402JR-07360RL,YAGEO,RES 360 OHM 5% 1/16W 0402,RC0402JR-07360RL,YAGEO
2,"R248,R252",2.2K,R0402,AC0402JR-072K2L,YAGEO,RES SMD 2.2K OHM 5% 1/16W 0402,"AC0402FR-072K2L, AC0402JR-072K2L, ERJ-2GEJ222X","YAGEO, Panasonic Electronic Components"
3,"R254,R270,R271",0,R0402,AC0402FR-070RL,YAGEO,RES SMD 0 OHM 1% 1/10W 0402,AC0402FR-070RL,"YAGEO, Panasonic Electronic Components"
1,R255,560K,R0402,311-560KLRCT-ND,YAGEO,"560 kOhms Â±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film",311-560KLRCT-ND,YAGEO
1,R256,86.6K,R0402,RC0402FR-0786K6L,YAGEO,"86.6 kOhms Â±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film",RC0402FR-0786K6L,YAGEO
2,"R259,R261",4.7K,R0402,AF0402JR-074K7L,YAGEO,RES SMD 4.7K OHM 5% 1/16W 0402,"AC0402FR-072K2L, AF0402JR-074K7L, ERJ-2GEJ472X","YAGEO, Panasonic Electronic Components"
