Quantity,Reference,Value,PCB Footprint,Part Number,Manufacturer,Description
2,"R41,R266",0E,R0402,AC0402FR-070RL,YAGEO,RESISTOR 0402 JUMPER ZERO OHM
2,"R41,R266",0E,R0402,AC0402FR-070RL,YAGEO,RESISTOR 0402 JUMPER ZERO OHM
2,"R41,R266",0E,R0402,AC0402FR-070RL,YAGEO,RESISTOR 0402 JUMPER ZERO OHM
1,R175,1K,R0402,RC0402JR-071KP,YAGEO,RES SMD 1K OHM 5% 1/16W 0402
1,R175,1K,R0402,ERJ-2RKF1001X,Panasonic Electronic Components,RES SMD 1K OHM 1% 1/10W 0402
1,R175,1K,R0402,ERJ-2RKF1001X,Panasonic Electronic Components,RES SMD 1K OHM 1% 1/10W 0402
1,R175,1K,R0402,ERJ-2RKF1001X,YAGEO,RES SMD 1K OHM 1% 1/10W 0402
2,"R193,R247",360E,R0402,RC0402JR-07360RL,YAGEO,RES 360 OHM 5% 1/16W 0402
2,"R248,R252",2.2K,R0402,AC0402JR-072K2L,YAGEO,RES SMD 2.2K OHM 5% 1/16W 0402
2,"R248,R252",2.2K,R0402,ERJ-2GEJ222X,Panasonic Electronic Components,RES SMD 2.2K OHM 5% 1/10W 0402
2,"R248,R252",2.2K,R0402,AC0402FR-072K2L,YAGEO,RES SMD 2.2K OHM 1% 1/16W 0402
3,"R254,R270,R271",,R0402,,,
1,R255,560K,R0402,311-560KLRCT-ND,YAGEO,"560 kOhms Â±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"
1,R256,86.6K,R0402,RC0402FR-0786K6L,YAGEO,"86.6 kOhms Â±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"
2,"R259,R261",4.7K,R0402,AF0402JR-074K7L,YAGEO,RES SMD 4.7K OHM 5% 1/16W 0402
2,"R259,R261",4.7K,R0402,ERJ-2GEJ472X,Panasonic Electronic Components,RES SMD 4.7K OHM 5% 1/10W 0402
2,"R259,R261",4.7K,R0402,AC0402FR-072K2L,YAGEO,RES SMD 2.2K OHM 1% 1/16W 0402
2,"R263,R267",100K,R0402,ERJ-2RKF1003X,Panasonic Electronic Components,RES SMD 100K OHM 1% 1/10W 0402
2,"R263,R267",100K,R0402,ERJ-2RKF1003X,Panasonic Electronic Components,RES SMD 100K OHM 1% 1/10W 0402
2,"R263,R267",100K,R0402,ERJ-2RKF1003X,Panasonic Electronic Components,RES SMD 100K OHM 1% 1/10W 0402
1,R264,20K,R0402,AC0402FR-0720KL,YAGEO,RES SMD 20K OHM 1% 1/16W 0402
1,R264,20K,R0402,ERJ-2RKF2002X,Panasonic Electronic Components,"20 kOhms Â±1% 0.1W, 1/10W Chip Resistor 0402 (1005 Metric) Automotive AEC-Q200 Thick Film"
2,"R268,R269",0E,R0402,RC0402JR-070RP,YAGEO,RES SMD 0 OHM JUMPER 1/16W 0402
2,"R268,R269",0E,R0402,ERJ-2GE0R00X,Panasonic Electronic Components,RES SMD 0 OHM JUMPER 1/10W 0402
2,"R268,R269",0E,R0402,ERJ-2GE0R00X,Panasonic Electronic Components,RES SMD 0 OHM JUMPER 1/10W 0402
2,"R268,R269",0E,R0402,AC0402FR-070RL,YAGEO,RESISTOR 0402 JUMPER ZERO OHM
2,"R268,R269",0E,R0402,AC0402FR-070RL,YAGEO,RESISTOR 0402 JUMPER ZERO OHM
2,"R268,R269",0E,R0402,AC0402FR-070RL,YAGEO,RESISTOR 0402 JUMPER ZERO OHM
2,"R275,R276",1K,R0402,RC0402JR-071KP,YAGEO,RES SMD 1K OHM 5% 1/16W 0402
2,"R275,R276",1K,R0402,ERJ-2RKF1001X,Panasonic Electronic Components,RES SMD 1K OHM 1% 1/10W 0402
2,"R275,R276",1K,R0402,ERJ-2RKF1001X,Panasonic Electronic Components,RES SMD 1K OHM 1% 1/10W 0402
2,"R275,R276",1K,R0402,ERJ-2RKF1001X,YAGEO,RES SMD 1K OHM 1% 1/10W 0402
1,R277,,R0402,,,
